id,prediction
v01_0000,"You see, but you do not observe."
v01_0001,"Usted ve, pero no observa."
v01_0002,見てはいるが、観察はしていないね。
v01_0003,보긴 하지만 관찰은 안하는군요
v01_0004,你只是看，却没有观察。
v01_0005,"Βλέπεις, αλλά δεν παρατηρείς."
v01_0006,"RECRUITINGNOOD LAMP OIL OFFICE SOUTHERN COTTON GROMERS EXCHANGE It's quite simple, once you know how."
v01_0007,"Johnnie Gray."" Es bastante simple, una vez que sabes cómo."
v01_0008,コツさえ分かれば簡単さ。
v01_0009,아카이브클래식·복원판 알고나면아주간단한거예요
v01_0010,公共领域胶片·拷贝 知道方法之后其实很简单。
v01_0011,"81B Είναι απλό, αρκεί να ξέρεις πώς."
v01_0012,"8Zz There's no use trying, that's impossible."
v01_0013,"""Occupation?"" No sirve de nada intentarlo, es imposible."
v01_0014,無駄だよ、それは不可能だ。
v01_0015,"그건불가능해요, 소용없어요."
v01_0016,"""If you lose this war don't blame me. 公共领域胶片·拷贝 别白费力气了，那不可能。"
v01_0017,"Αρχείο Ταινιών αποκατάσταση Δεν έχει νόημα, είναι αδύνατο."
v01_0018,Curiouser and curiouser!
v01_0019,Clasicos de Archivo - restaurado ¡Cada vez más raro!
v01_0020,ますます不思議になっていく！
v01_0021,아카이브 클래식 복원판 점점더ㅇ 이상해지네!
v01_0022,"""Please don't lie -I don't want you to speak to me again until you are in uniform.' 经典影像档案·修复版 越来越奇怪了！"
v01_0023,Αρχείο Ταινιών: αποκατάσταση Ολο ΤιΟ περίεργο! και1
v01_0024,H year later. In a Union encampment just North of Chattanooga. Who in the world am I?
v01_0025,"""I know every foot of this railroad from Marietta to Chattanooga — and with d men I c ten picked cannot fail."" ¿Quién demonios soy yo?"
v01_0026,'We Will enter the s South Civilians Coming From đs the neutra! State of Kentucky t0 j0in the Southern cause. 私はいったい誰なの？
v01_0027,"""At Big Shanty will steal we the train while the passengers and at dinner, crew are and proceeding North We Will burn bridge, cutting off the every supplies of the army noW facing 도대체 나는 누구지?"
v01_0028,"""Then the day you steal the train 一 will have 2t General Parker advance to meety you. = 我到底是谁？"
v01_0029,VI&ARF Ποια είμαιεπίτέλους εγώ;
v01_0030,A.R.R. We're all mad here.
v01_0031,Bobina publica copia #114 Aquf todos estamos locos.
v01_0032,ここではみんな狂ってるよ。
v01_0033,20 여긴다미쳤어요
v01_0034,这里的人都疯了。
v01_0035,.R.R. W&A.R.R. Εδώ όλοι είναι τρελοί.
v01_0036,It is a truth universally acknowledged.
v01_0037,Es una verdad reconocida por todos.
v01_0038,W.R.A.R.R W&A.R.R. それは誰もが認める真実だ。
v01_0039,그건 누구나아는 진실이죠
v01_0040,这是人人都承认的真理
v01_0041,Είναι μια αλήθεια που όλοι αποδέχονται.
v01_0042,Film Vault print#114 I could not tell you what I really think.
v01_0043,No podría decirte lo que r realmente p pienso.
v01_0044,'Three men stole my. General. .I think they are deserters. 本当の気持ちは言葉にできない。
v01_0045,W& 내진심은말로다못해요
v01_0046,我说不出自己真正的想法。
v01_0047,"Δεν μπορώ να α πωjTI ""πραγματικά ά σκέφτομαι"
v01_0048,Archive Classics : restored 2024 Vanity and pride are different things.
v01_0049,La vanidad y el orgullo son cosas distintas.
v01_0050,虚栄心とプライドは別物だよ。
v01_0051,허영이랑자존심은 다른거예요
v01_0052,虚荣和自尊是两回事。
v01_0053,Η ματαιοδοξία κι η υπερηφάνεια είναι διαφόρετικά πράγματα.
v01_0054,W.&.ABR W&A.R.R I have been in a dream all afternoon.
v01_0055,W.&.A.R.R. He estado como en un sueño toda la tarde.
v01_0056,午後じゅう夢の中にいたみたい。
v01_0057,오후내내꿈속에 있었던 것같아요
v01_0058,公共领域胶片·拷贝 整个下午我都像在做梦。
v01_0059,Ήμουν σαν σε όνειρο όλο το απόγευμα.
v01_0060,"TEXAS It was the best of t times, it was the worst of times."
v01_0061,"Era el mejor de los tiempos, era el peor de los tiempos."
v01_0062,クラシックアーカイブ・修復版 最良の時代であり、最悪の時代でもあった。
v01_0063,최고의시절이자 최악의 시절이었죠
v01_0064,那是最好的时代，也是最坏的时代。
v01_0065,Ήταν η καλύτερη εποχή. ήταν η2 χειρότερη εποχή.
v01_0066,"God bless us, every one."
v01_0067,Que Dios nos bendiga a todos.
v01_0068,みんなに神の祝福を。
v01_0069,5 모두에게신의 축복이있기를.
v01_0070,愿上帝保佑我们每一个人。
v01_0071,ο Θεός να μας ευλογεί όλους.
v01_0072,I will honor Christmas in my heart.
v01_0073,Guardaré la Navidad en mi corazón.
v01_0074,心の中でクリスマスを大切にするよ。
v01_0075,공공 도메인 필름 사본 마음속으로 크리스마스를 기억할게요.
v01_0076,我会把圣诞节永远放在心里。
v01_0077,Θα κρατήσω τα Χριστούγεννα στην Κ καρδιά μου.
v01_0078,B.A.R.R. Are there no prisons? No workhouses?
v01_0079,The Southern army facing g Chattanooga is ordered to retreat. ¿No hay cárceles? ¿No hay asilos?
v01_0080,刑務所も救貧院もないのか？
v01_0081,감옥도 없나요? 구빈원도 없어요?
